table_name,column_name,data_type,is_nullable,column_default
car_info,code,text,NO,null
car_info,name,text,NO,null
car_price,code,text,NO,null
car_price,category_code,text,NO,null
car_price,cruise_code,text,NO,null
car_price,car_code,text,NO,null
car_price,schedule_code,text,NO,null
car_price,price,numeric,YES,null
car_price,passenger_type,text,YES,null
category_info,code,text,NO,null
category_info,name,text,NO,null
cruise_info,code,text,NO,null
cruise_info,name,text,NO,null
payment_info,code,text,NO,null
payment_info,name,text,NO,null
quote,id,uuid,NO,gen_random_uuid()
quote,user_id,uuid,YES,null
quote,checkin,date,NO,null
quote,schedule_code,text,YES,null
quote,cruise_code,text,YES,null
quote,payment_code,text,YES,null
quote,discount_rate,numeric,YES,0
quote,created_at,timestamp with time zone,YES,now()
quote,is_confirmed,boolean,YES,false
quote,confirmed_at,timestamp with time zone,YES,null
quote,vehicle_category_code,text,YES,null
quote,vehicle_code,text,YES,null
quote_price_summary,quote_id,uuid,NO,null
quote_price_summary,checkin,date,YES,null
quote_price_summary,discount_rate,numeric,YES,0
quote_price_summary,total_room_price,numeric,YES,0
quote_price_summary,total_car_price,numeric,YES,0
quote_price_summary,grand_total,numeric,YES,0
quote_price_summary,final_total,numeric,YES,0
quote_room,id,uuid,NO,gen_random_uuid()
quote_room,quote_id,uuid,YES,null
quote_room,room_code,text,YES,null
quote_room,created_at,timestamp with time zone,YES,now()
quote_room,vehicle_code,text,YES,null
quote_room_detail,id,uuid,NO,gen_random_uuid()
quote_room_detail,quote_id,uuid,YES,null
quote_room_detail,room_price_code,text,YES,null
quote_room_detail,car_price_code,text,YES,null
quote_room_detail,category,text,YES,null
quote_room_detail,person_count,integer,YES,0
quote_room_detail,passenger_type,text,YES,null
quote_room_detail,car_count,integer,YES,1
quote_room_detail,room_unit_price,numeric,YES,0
quote_room_detail,room_total_price,numeric,YES,0
quote_room_detail,car_unit_price,numeric,YES,0
quote_room_detail,car_total_price,numeric,YES,0
quote_room_detail,updated_at,timestamp with time zone,YES,now()
quote_room_detail,room_code,text,YES,null
quote_room_detail,vehicle_code,text,YES,null
room_info,code,text,NO,null
room_info,name,text,NO,null
room_price,code,text,NO,null
room_price,schedule_code,text,NO,null
room_price,category_code,text,NO,null
room_price,cruise_code,text,NO,null
room_price,room_code,text,NO,null
room_price,price,numeric,YES,null
room_price,start_date,date,YES,null
room_price,end_date,date,YES,null
room_price,payment_code,text,YES,null
schedule_info,code,text,NO,null
schedule_info,name,text,NO,null
users,id,uuid,NO,gen_random_uuid()
users,reservation_date,date,YES,null
users,email,text,YES,null
users,korean_name,text,YES,null
users,english_name,text,YES,null
users,nickname,text,YES,null
users,phone_number,text,YES,null
users,created_at,timestamp with time zone,YES,now()
users,kakao_id,text,YES,null
users,role,text,NO,'member'::text
