schema_name,table_name,column_name,data_type,is_nullable,column_default
public,assignments,assigned_at,timestamp with time zone,NO,now()
public,assignments,session_id,uuid,NO,null
public,assignments,user_id,uuid,NO,null
public,attendance_stats,attended_at,date,YES,null
public,attendance_stats,match_schedule_id,uuid,YES,null
public,attendance_stats,month,numeric,YES,null
public,attendance_stats,status,character varying,YES,null
public,attendance_stats,user_id,uuid,YES,null
public,attendance_stats,week,numeric,YES,null
public,attendance_stats,year,numeric,YES,null
public,attendances,attended_at,date,NO,null
public,attendances,created_at,timestamp with time zone,NO,now()
public,attendances,id,uuid,NO,gen_random_uuid()
public,attendances,match_schedule_id,uuid,YES,null
public,attendances,notes,text,YES,null
public,attendances,status,character varying,NO,present
public,attendances,updated_at,timestamp with time zone,NO,now()
public,attendances,user_id,uuid,NO,null
public,courts,created_at,timestamp with time zone,NO,now()
public,courts,id,uuid,NO,gen_random_uuid()
public,courts,is_active,boolean,NO,true
public,courts,location,text,YES,null
public,courts,name,text,NO,null
public,courts,order_index,integer,YES,null
public,challenge_requests,challenge_date,date,NO,CURRENT_DATE
public,challenge_requests,challenger_id,uuid,NO,null
public,challenge_requests,created_at,timestamp with time zone,NO,now()
public,challenge_requests,id,uuid,NO,gen_random_uuid()
public,challenge_requests,note,text,YES,null
public,challenge_requests,opponent1_id,uuid,NO,null
public,challenge_requests,opponent1_response,text,NO,pending
public,challenge_requests,opponent2_id,uuid,NO,null
public,challenge_requests,opponent2_response,text,NO,pending
public,challenge_requests,partner_id,uuid,NO,null
public,challenge_requests,partner_response,text,NO,pending
public,challenge_requests,responded_at,timestamp with time zone,YES,null
public,challenge_requests,status,text,NO,pending
public,challenge_requests,updated_at,timestamp with time zone,NO,now()
public,daily_game_counts,count,integer,NO,0
public,daily_game_counts,date,date,NO,null
public,daily_game_counts,last_assigned_at,timestamp with time zone,YES,null
public,daily_game_counts,user_id,uuid,NO,null
public,dashboard_menus,admin_only,boolean,NO,false
public,dashboard_menus,created_at,timestamp with time zone,NO,now()
public,dashboard_menus,display_order,integer,NO,0
public,dashboard_menus,icon,text,YES,null
public,dashboard_menus,id,uuid,NO,gen_random_uuid()
public,dashboard_menus,is_active,boolean,NO,true
public,dashboard_menus,name,text,NO,null
public,dashboard_menus,path,text,NO,null
public,generated_matches,completed_at,timestamp with time zone,YES,null
public,generated_matches,created_at,timestamp with time zone,NO,now()
public,generated_matches,id,bigint,NO,null
public,generated_matches,match_number,integer,NO,null
public,generated_matches,match_result,jsonb,YES,null
public,generated_matches,match_type,text,NO,level_based
public,generated_matches,session_id,uuid,NO,null
public,generated_matches,status,text,NO,scheduled
public,generated_matches,team1_player1_id,uuid,YES,null
public,generated_matches,team1_player2_id,uuid,YES,null
public,generated_matches,team2_player1_id,uuid,YES,null
public,generated_matches,team2_player2_id,uuid,YES,null
public,generated_matches,updated_at,timestamp with time zone,NO,now()
public,level_info,code,text,NO,null
public,level_info,created_at,timestamp with time zone,NO,now()
public,level_info,description,text,YES,null
public,level_info,id,bigint,NO,null
public,level_info,name,text,NO,null
public,level_info,score,numeric,YES,null
public,match_participants,id,uuid,NO,gen_random_uuid()
public,match_participants,match_schedule_id,uuid,NO,null
public,match_participants,notes,text,YES,null
public,match_participants,registered_at,timestamp with time zone,NO,now()
public,match_participants,status,character varying,NO,registered
public,match_participants,user_id,uuid,NO,null
public,match_player_status,id,bigint,NO,null
public,match_player_status,match_id,bigint,NO,null
public,match_player_status,status,character varying,NO,scheduled
public,match_player_status,updated_at,timestamp with time zone,NO,now()
public,match_player_status,updated_by,uuid,YES,null
public,match_player_status,user_id,uuid,NO,null
public,match_results,created_at,timestamp with time zone,NO,now()
public,match_results,id,bigint,NO,null
public,match_results,match_id,bigint,NO,null
public,match_results,team1_score,integer,NO,null
public,match_results,team2_score,integer,NO,null
public,match_results,winner_team1,boolean,NO,null
public,match_schedules,court_number,integer,YES,null
public,match_schedules,created_at,timestamp with time zone,NO,now()
public,match_schedules,created_by,uuid,YES,null
public,match_schedules,current_participants,integer,NO,0
public,match_schedules,description,text,YES,null
public,match_schedules,end_time,time without time zone,YES,null
public,match_schedules,generated_match_id,bigint,YES,null
public,match_schedules,id,uuid,NO,gen_random_uuid()
public,match_schedules,location,character varying,YES,null
public,match_schedules,match_date,date,YES,null
public,match_schedules,match_result,jsonb,YES,null
public,match_schedules,max_participants,integer,NO,20
public,match_schedules,schedule_source,character varying,NO,recurring
public,match_schedules,scheduled_date,date,YES,null
public,match_schedules,scheduled_time,time without time zone,YES,null
public,match_schedules,start_time,time without time zone,YES,null
public,match_schedules,status,character varying,NO,scheduled
public,match_schedules,updated_at,timestamp with time zone,NO,now()
public,match_schedules,updated_by,uuid,YES,null
public,match_sessions,assigned_matches,integer,NO,0
public,match_sessions,created_at,timestamp with time zone,NO,now()
public,match_sessions,id,uuid,NO,gen_random_uuid()
public,match_sessions,session_date,date,NO,null
public,match_sessions,session_name,text,NO,null
public,match_sessions,status,text,NO,scheduled
public,match_sessions,total_matches,integer,NO,0
public,match_sessions,updated_at,timestamp with time zone,NO,now()
public,monthly_attendance_summary,absent_count,bigint,YES,null
public,monthly_attendance_summary,attendance_rate,numeric,YES,null
public,monthly_attendance_summary,month,numeric,YES,null
public,monthly_attendance_summary,present_count,bigint,YES,null
public,monthly_attendance_summary,total_days,bigint,YES,null
public,monthly_attendance_summary,user_id,uuid,YES,null
public,monthly_attendance_summary,year,numeric,YES,null
public,notifications,created_at,timestamp with time zone,NO,now()
public,notifications,id,uuid,NO,gen_random_uuid()
public,notifications,is_read,boolean,NO,false
public,notifications,message,text,NO,null
public,notifications,read_at,timestamp with time zone,YES,null
public,notifications,related_match_id,bigint,YES,null
public,notifications,title,character varying,NO,null
public,notifications,type,character varying,NO,general
public,notifications,user_id,uuid,NO,null
public,profiles,created_at,timestamp with time zone,NO,now()
public,profiles,coin_balance,integer,NO,30
public,profiles,coin_losses,integer,NO,0
public,profiles,coin_updated_at,timestamp with time zone,NO,now()
public,profiles,coin_wins,integer,NO,0
public,profiles,email,text,YES,null
public,profiles,full_name,text,YES,null
public,profiles,gender,text,YES,null
public,profiles,id,uuid,NO,gen_random_uuid()
public,profiles,role,text,NO,user
public,profiles,skill_level,text,NO,E2
public,profiles,updated_at,timestamp with time zone,NO,now()
public,profiles,user_id,uuid,YES,null
public,profiles,username,text,YES,null
public,match_coin_bets,created_at,timestamp with time zone,NO,now()
public,match_coin_bets,id,bigint,NO,null
public,match_coin_bets,match_id,bigint,NO,null
public,match_coin_bets,profile_id,uuid,NO,null
public,match_coin_bets,updated_at,timestamp with time zone,NO,now()
public,match_coin_bets,wager_amount,integer,NO,1
public,profile_coin_transactions,created_at,timestamp with time zone,NO,now()
public,profile_coin_transactions,delta,integer,NO,null
public,profile_coin_transactions,id,bigint,NO,null
public,profile_coin_transactions,match_id,bigint,NO,null
public,profile_coin_transactions,profile_id,uuid,NO,null
public,profile_coin_transactions,recorded_by,uuid,YES,null
public,profile_coin_transactions,team1_score,integer,NO,null
public,profile_coin_transactions,team2_score,integer,NO,null
public,profile_coin_transactions,team_side,text,NO,null
public,profile_coin_transactions,transaction_type,text,NO,null
public,profile_coin_transactions,updated_at,timestamp with time zone,NO,now()
public,profile_coin_transactions,wager_amount,integer,NO,1
public,recurring_match_templates,advance_days,integer,NO,7
public,recurring_match_templates,created_at,timestamp with time zone,NO,now()
public,recurring_match_templates,created_by,uuid,YES,null
public,recurring_match_templates,day_of_week,integer,NO,null
public,recurring_match_templates,description,text,YES,null
public,recurring_match_templates,end_time,time without time zone,NO,null
public,recurring_match_templates,id,uuid,NO,gen_random_uuid()
public,recurring_match_templates,is_active,boolean,NO,true
public,recurring_match_templates,location,character varying,NO,null
public,recurring_match_templates,max_participants,integer,NO,20
public,recurring_match_templates,name,character varying,NO,null
public,recurring_match_templates,start_time,time without time zone,NO,null
public,recurring_match_templates,updated_at,timestamp with time zone,NO,now()
public,recurring_templates_view,advance_days,integer,YES,null
public,recurring_templates_view,created_at,timestamp with time zone,YES,null
public,recurring_templates_view,day_name,text,YES,null
public,recurring_templates_view,day_of_week,integer,YES,null
public,recurring_templates_view,description,text,YES,null
public,recurring_templates_view,end_time,time without time zone,YES,null
public,recurring_templates_view,id,uuid,YES,null
public,recurring_templates_view,is_active,boolean,YES,null
public,recurring_templates_view,location,character varying,YES,null
public,recurring_templates_view,max_participants,integer,YES,null
public,recurring_templates_view,name,character varying,YES,null
public,recurring_templates_view,start_time,time without time zone,YES,null
public,sessions,court_code,text,NO,null
public,sessions,created_at,timestamp with time zone,NO,now()
public,sessions,date,date,NO,null
public,sessions,id,uuid,NO,gen_random_uuid()
public,sessions,round_no,smallint,NO,null
public,sessions,time_slot,text,NO,null
public,team_assignments,assignment_date,date,NO,null
public,team_assignments,created_at,timestamp with time zone,NO,now()
public,team_assignments,id,uuid,NO,gen_random_uuid()
public,team_assignments,pairs_data,jsonb,YES,null
public,team_assignments,racket_team,jsonb,YES,null
public,team_assignments,round_number,integer,NO,null
public,team_assignments,shuttle_team,jsonb,YES,null
public,team_assignments,team_type,text,NO,null
public,team_assignments,team1,jsonb,YES,null
public,team_assignments,team2,jsonb,YES,null
public,team_assignments,team3,jsonb,YES,null
public,team_assignments,team4,jsonb,YES,null
public,team_assignments,title,text,NO,null
public,team_assignments,updated_at,timestamp with time zone,NO,now()
public,tournament_matches,court,text,NO,null
public,tournament_matches,created_at,timestamp with time zone,NO,now()
public,tournament_matches,id,uuid,NO,gen_random_uuid()
public,tournament_matches,match_number,integer,NO,null
public,tournament_matches,round,integer,NO,null
public,tournament_matches,scheduled_time,timestamp with time zone,YES,null
public,tournament_matches,score_team1,integer,YES,null
public,tournament_matches,score_team2,integer,YES,null
public,tournament_matches,status,text,NO,pending
public,tournament_matches,team1,text[],NO,null
public,tournament_matches,team2,text[],NO,null
public,tournament_matches,tournament_id,uuid,NO,null
public,tournament_matches,updated_at,timestamp with time zone,NO,now()
public,tournament_matches,winner,text,YES,null
